id,name,gender,name_translit,popularity
51511,Aкрам,,Akram,0.000000058848954
51509,Aман,,Aman,0.000000058848954
11559,Аабира,female,Aabira,0.000000058848954
11560,Аабхал,female,Aabkhal,0.000000058848954
34808,Аабхас,male,Aabkhas,0.000000058848954
23715,Ааво,male,Aavo,0.000000058848954
34809,Аадеш,male,Aadesh,0.000000058848954
34810,Аади,male,Aadi,0.000000058848954
34811,Аадил,male,Aadil,0.000000058848954
34812,Аазиз,male,Aaziz,0.000000058848954
34813,Аакар,male,Aakar,0.000000058848954
34814,Аакеш,male,Aakesh,0.000000058848954
34815,Аакил,male,Aakil,0.000000058848954
11561,Аакила,female,Aakila,0.000000058848954
34816,Аал,,Aal,0.000000058848954
11562,Аалам,female,Aalam,0.000000058848954
34817,Аалем,male,Aalem,0.000000058848954
34818,Аали,male,Aali,0.000000058848954
11563,Аалиш,female,Aalish,0.000000058848954
1,Аалия,female,Aaliya,0.00000017654686
23716,Аало,male,Aalo,0.000000058848954
34819,Аалок,male,Aalok,0.000000058848954
11564,Аамаори,female,Aamaori,0.000000058848954
11565,Аамиля,female,Aamilya,0.000000058848954
34820,Аамин,male,Aamin,0.000000058848954
11566,Аамина,female,Aamina,0.000000058848954
23717,Аамир,male,Aamir,0.000000058848954
11567,Аамира,female,Aamira,0.000000058848954
11568,Ааму,female,Aamu,0.000000058848954
34821,Аанал,male,Aanal,0.000000058848954
34822,Аанан,male,Aanan,0.000000058848954
11569,Аанандаа,female,Aanandaa,0.000000058848954
11570,Аананди,female,Aanandi,0.000000058848954
2,Аанжелла,female,Aanzhella,0.000000058848954
34823,Аанил,male,Aanil,0.000000058848954
11571,Аанне,female,Aanne,0.000000058848954
34824,Аанчит,male,Aanchit,0.000000058848954
34825,Аапеп,male,Aapep,0.000000058848954
34826,Аапт,male,Aapt,0.000000058848954
11572,Аапти,female,Aapti,0.000000058848954
11573,Аара,female,Aara,0.000000058848954
23718,Ааре,male,Aare,0.000000058848954
34827,Аариф,male,Aarif,0.000000058848954
11574,Аарифа,female,Aarifa,0.000000058848954
34828,Аарне,male,Aarne,0.00000023539582
23719,Аарон,male,Aaron,0.000002765901
23720,Ааронас,male,Aaronas,0.000000058848954
11575,Аарси,female,Aarsi,0.000000058848954
34829,Аару,male,Aaru,0.000000058848954
34830,Аасим,male,Aasim,0.000000058848954
11576,Ааста,female,Aasta,0.000000058848954
34831,Аатами,male,Aatami,0.000000058848954
11577,Аатифа,female,Aatifa,0.000000058848954
23721,Аатм,male,Aatm,0.000000058848954
34832,Аатмик,male,Aatmik,0.000000058848954
23722,Аатолий,male,Aatoly,0.0000008238854
34833,Аатос,male,Aatos,0.000000058848954
34834,Аафрин,male,Aafrin,0.000000058848954
11578,Аафрина,female,Aafrina,0.000000058848954
34835,Аафтаб,male,Aaftab,0.000000058848954
11579,Аахути,female,Aakhuti,0.000000058848954
34836,Аачит,male,Aachit,0.000000058848954
11580,Аашика,female,Aashika,0.000000058848954
34837,Аашил,male,Aashil,0.000000058848954
34838,Аашит,male,Aashit,0.000000058848954
34839,Аашиш,male,Aashish,0.000000058848954
11581,Ааянна,female,Aayanna,0.000000058848954
3,Аба,,Aba,0.0000005296406
23723,Абабакар,male,Ababakar,0.000000058848954
23724,Абабакир,male,Ababakir,0.0000021185624
34840,Абабил,male,Ababil,0.000000058848954
34841,Абабиль,male,Ababil,0.000000058848954
4,Абав,female,Abav,0.000000058848954
34842,Абагор,male,Abagor,0.000000058848954
23725,Абад,male,Abad,0.00000047079163
23726,Абадад,male,Abadad,0.000000058848954
23727,Абадан,male,Abadan,0.00000023539582
34843,Абадер,male,Abader,0.000000058848954
23728,Абади,male,Abadi,0.00000011769791
23729,Абадий,male,Abady,0.000000058848954
11582,Абадия,female,Abadiya,0.000000058848954
34844,Абаз,male,Abaz,0.0000007650364
23730,Абазер,male,Abazer,0.000000058848954
34845,Абаид,male,Abaid,0.000000058848954
23731,Абай,male,Abay,0.000016654254
34846,Абайдар,male,Abaydar,0.000000058848954
11583,Абайоми,female,Abayomi,0.000000058848954
34847,Абак,male,Abak,0.000000058848954
34848,Абака,male,Abaka,0.000000058848954
23732,Абакар,male,Abakar,0.000014829937
23733,Абакум,male,Abakum,0.000000058848954
34849,Абакус,male,Abakus,0.000000058848954
23734,Абакыз,male,Abakyz,0.000000058848954
34850,Абал,male,Abal,0.000000058848954
